Jew2k8
Elan
Brendan Morrison
Erik Christensen
Michael Ryder
Tim Connolly
Dion Phaneuf
Ray Whitney
Andrew Ladd
Paul Stastny
Kristian Huselius
Mike Ribeiro
Marian Hossa
Shawn Horcoff
Cory Stillman
Teddy Purcell
Marek Zidlicky
Saku Koivu
J.P. Dumont
Jamie Langenbrunner
Mark Streit
Chris Drury
Daniel Alfredsson
Joffrey Lupul
Martin Hanzal
Ruslan Fedotenko
Dan Boyle
David Backes
Martin St. Louis
Alexei Ponikarovsky
Steve Bernier
Alexander Ovechkin

Brian
Chris Pronger
Mathieu Schneider
Zdeno Chara
Drew Stafford
Matthew Lombardi
Rod Brind'Amour
Patrick Kane
Joe Sakic
R.J. Umberger
Brenden Morrow
Nicklas Lidstrom
Erik Cole
David Booth
Anze Kopitar
Brent Burns
Tomas Plekanec
Martin Erat
Zach Parise
Mike Comrie
Nikolai Zherdev
Antoine Vermette
Kimmo Timonen
Steve Reinprecht
Sidney Crosby
Ryane Clowe
David Perron
Vaclav Prospal
Alexander Steen
Kyle Wellwood
Nicklas Backstrom

Matt
Ryan Getzlaf
Colby Armstrong
Phil Kessel
Maxim Afinogenov
Craig Conroy
Matt Cullen
Jonathan Toews
Milan Hejduk
Derick Brassard
Brad Richards
Johan Franzen
Sam Gagner
Rostislav Olesz
Alexander Frolov
Antti Miettinen
Andrei Kostitsyn
Jason Arnott
Patrik Elias
Kyle Okposo
Nigel Dawes
Mike Fisher
Simon Gagne
Olli Jokinen
Evgeni Malkin
Joe Thornton
Brad Boyes
Steven Stamkos
Niklas Hagman
Kevin Bieksa
Michael Nylander

Mike
Corey Perry
Eric Perrin
Dennis Wideman
Jason Pominville
Jarome Iginla
Joe Corvo
Brian Campbell
Wojtek Wolski
Fredrik Modin
Jere Lehtinen
Brian Rafalski
Dustin Penner
Bryan McCabe
Dustin Brown
Marian Gaborik
Christopher Higgins
David Legwand
Brian Gionta
Bill Guerin
Wade Redden
Jesse Winchester
Mike Knuble
Shane Doan
Miroslav Satan
Patrick Marleau
Paul Kariya
Ryan Malone
Pavel Kubina
Daniel Sedin
Alexander Semin

Ariel
Chris Kunitz
Ilya Kovalchuk
Marc Savard
Derek Roy
Michael Cammalleri
Sergei Samsonov
Patrick Sharp
Ryan Smyth
Jakub Voracek
Mike Modano
Tomas Holmstrom
Andrew Cogliano
Nathan Horton
Patrick O'Sullivan
Pierre-Marc Bouchard
Andrei Markov
Shea Weber
Brian Rolston
Mike Sillinger
Brandon Dubinsky
Chris Kelly
Danny Briere
Peter Mueller
Petr Sykora/1333
Milan Michalek
Andy McDonald
Jussi Jokinen
Tomas Kaberle
Henrik Sedin
Mike Green/3667

Jon
Teemu Selanne
Slava Kozlov
Patrice Bergeron
Thomas Vanek
Daymond Langkow
Patrick Eaves
Brent Seabrook
Darcy Tucker
Jason Chimera
Sergei Zubov
Pavel Datsyuk
Sheldon Souray
Jay Bouwmeester
Jarret Stoll
Andrew Brunette
Alexei Kovalev
Vernon Fiddler
Dainius Zubrus
Doug Weight
Markus Naslund
Dany Heatley
Mike Richards
Kyle Turris
Jordan Staal
Joe Pavelski
Keith Tkachuk
Radim Vrbata
Jason Blake
Pavol Demitra
Viktor Kozlov

Lorne
Scott Niedermayer
Jason Williams
Marco Sturm
Jochen Hecht
Todd Bertuzzi
Eric Staal
Martin Havlat
Marek Svatos
Rick Nash
Philippe Boucher
Henrik Zetterberg
Ales Hemsky
Stephen Weiss
Tom Preissing
Mikko Koivu
Alex Tanguay
Jan Hlavac
John Madden
Jon Sim
Scott Gomez
Jason Spezza
Jeff Carter
Ed Jovanovski
Pascal Dupuis
Jonathan Cheechoo
Lee Stempniak
Vincent Lecavalier
Nik Antropov
Ryan Kesler
Sergei Fedorov
